trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
21,0,21,0,46.53565199999139,,46.49251699994784,10,46.53565199999139,46.53565199999139,0.03229559992905706,48.30101789999753,[-0.44814814814814813],[0.1675925925925926],[1],[0],[0],[1.7768029000144452],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
22,0,22,0,48.3474256999325,,48.3053412999725,10,48.3474256999325,48.3474256999325,0.031531999935396016,51.0179278999567,[0.3787037037037037],[0.46111111111111114],[1],[0],[0],[2.6812435999745503],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
23,0,23,0,51.050350699923,,51.0231168998871,5,51.050350699923,51.050350699923,0.02015699993353337,58.25198029994499,[-0.26666666666666666],[-0.425],[1],[0],[0],[7.208806699956767],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
24,0,24,0,58.30053939996287,,58.25740089989267,10,58.30053939996287,58.30053939996287,0.032201599911786616,60.88579499989282,[0.1259259259259259],[0.34814814814814815],[1],[0],[0],[2.5966036999598145],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
25,0,25,0,60.93467599991709,,60.89020509994589,10,60.93467599991709,60.93467599991709,0.03349449997767806,65.6374573999783,[-0.43148148148148147],[0.375],[1],[0],[0],[4.713720200001262],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
26,0,26,0,65.68892200000118,,65.64143089996651,10,65.68892200000118,65.68892200000118,0.035964899929240346,70.68651119992137,[-0.44722222222222224],[0.4648148148148148],[1],[0],[0],[5.009257799945772],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
27,0,27,0,70.8250057999976,,70.69199989992194,10,70.8250057999976,70.8250057999976,0.12254160002339631,74.71791309991386,[-0.4046296296296296],[-0.4305555555555556],[1],[0],[0],[3.9040964000159875],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
28,0,28,0,74.74849239992909,,74.72374069993384,5,74.74849239992909,74.74849239992909,0.018839300028048456,76.71975429996382,[-0.2074074074074074],[-0.275],[1],[0],[0],[1.9779442999279127],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
29,0,29,0,76.77339159999974,,76.72458189993631,10,76.77339159999974,76.77339159999974,0.03537940001115203,78.40089639998041,[-0.4425925925925926],[0.03981481481481482],[1],[0],[0],[1.6414515000069514],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
30,0,30,0,78.43233509990387,,78.40630199993029,5,78.43233509990387,78.43233509990387,0.01967399998102337,79.75381969998125,[0.17407407407407408],[0.1175925925925926],[1],[0],[0],[1.3283735000295565],['target'],4,001,2024-10-09_12h55.42.840,visualsearch,2024.1.5,None,2024-10-09 12h55.57.467999 +0530,
