trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
20,0,20,0,60.52258950006217,,60.498483600094914,5,60.52258950006217,60.52258950006217,0.016913800034672022,62.06197919999249,[0.2074074074074074],[-0.1],[1],[0],[0],[1.5465296000475064],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
21,0,21,0,62.09224950009957,,62.068143100012094,5,62.09224950009957,62.09224950009957,0.017035599914379418,64.07847970002331,[0.27685185185185185],[0.45555555555555555],[1],[0],[0],[1.9933768999762833],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
22,0,22,0,64.10869320004713,,64.08298920001835,5,64.10869320004713,64.10869320004713,0.019039100036025047,65.8471378000686,[0.22037037037037038],[-0.16203703703703703],[1],[0],[0],[1.7452515999320894],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
23,0,23,0,65.88084650004748,,65.85277960007079,5,65.88084650004748,65.88084650004748,0.020580100012011826,68.1783238000935,[-0.4722222222222222],[0.2564814814814815],[1],[0],[0],[2.30521400005091],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
24,0,24,0,68.23217430000659,,68.18357470002957,10,68.23217430000659,68.23217430000659,0.038068900001235306,69.58503419999033,[-0.44166666666666665],[0.3296296296296296],[1],[0],[0],[1.3639605999924242],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
25,0,25,0,69.63112780009396,,69.58806440001354,10,69.63112780009396,69.63112780009396,0.031364800059236586,70.8112990000518,[-0.475],[0.275],[1],[0],[0],[1.1920024999417365],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
26,0,26,0,70.84530540008564,,70.81681900005788,5,70.84530540008564,70.84530540008564,0.02041189989540726,73.09502750006504,[0.28703703703703703],[0.2074074074074074],[1],[0],[0],[2.25824539992027],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
27,0,27,0,73.14342480001505,,73.09968410001602,10,73.14342480001505,73.14342480001505,0.03325800003949553,74.9461746000452,[-0.11388888888888889],[0.08055555555555556],[1],[0],[0],[1.8137942999601364],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
28,0,28,0,75.01076990005095,,74.94955450005364,10,75.01076990005095,75.01076990005095,0.04730080009903759,87.54479539999738,[0.487962962962963],[0.40555555555555556],[1],[0],[0],[12.548010800033808],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
29,0,29,0,87.593023500056,,87.55155880004168,10,87.593023500056,87.593023500056,0.03113439993467182,89.578368699993,[-0.46111111111111114],[-0.12685185185185185],[1],[0],[0],[1.9959638000000268],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
30,0,30,0,89.60718809999526,,89.58345780009404,5,89.60718809999526,89.60718809999526,0.016843799967318773,91.29495160002261,[0.06481481481481481],[-0.03148148148148148],[1],[0],[0],[1.6948605000507087],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
31,0,31,0,91.33104580000509,,91.30060489999596,5,91.33104580000509,91.33104580000509,0.021071499912068248,93.0787783000851,[0.3768518518518518],[0.2],[1],[0],[0],[1.7570232000434771],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
32,0,32,0,93.10920390009414,,93.08355610002764,5,93.10920390009414,93.10920390009414,0.018620499991811812,95.01345520000905,[-0.4398148148148148],[0.26296296296296295],[1],[0],[0],[1.9114927999908105],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
33,0,33,0,95.06731469999067,,95.01817850000225,10,95.06731469999067,95.06731469999067,0.038026100024580956,98.49466880003456,[-0.4305555555555556],[0.4101851851851852],[1],[0],[0],[3.438905499991961],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
34,0,34,0,98.52673250006046,,98.5002908000024,5,98.52673250006046,98.52673250006046,0.01758960005827248,101.63038510002661,[-0.01574074074074074],[0.2675925925925926],[1],[0],[0],[3.112924600020051],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
35,0,35,0,101.68440999998711,,101.63470430008601,10,101.68440999998711,101.68440999998711,0.03558979998342693,103.29566820000764,[-0.20277777777777778],[0.3824074074074074],[1],[0],[0],[1.6258719000034034],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
36,0,36,0,103.32891720009502,,103.29877160000615,5,103.32891720009502,103.32891720009502,0.018560700002126396,104.56195880006999,[-0.28425925925925927],[0.3037037037037037],[1],[0],[0],[1.2443881999934092],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
37,0,37,0,104.61122439999599,,104.5667297000764,10,104.61122439999599,104.61122439999599,0.03239249996840954,107.27814910002053,[0.25277777777777777],[-0.31851851851851853],[1],[0],[0],[2.679361900081858],['target'],2,001,2024-10-09_12h33.06.000,visualsearch,2024.1.5,None,2024-10-09 12h33.16.863421 +0530,
