reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
49,60,89,7,6,55,4,152.75351849995786,,152.7399054999696,152.75351849995786,153.75401219999185,153.75401219999185,153.75401219999185,155.97349819994997,l,2.215020600007847,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
27,50,21,8,0,56,2,155.98696089995792,,155.9748628999805,155.98696089995792,156.98742239997955,156.98742239997955,156.98742239997955,157.85827169998083,l,0.8666089000180364,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
67,75,119,8,1,57,5,157.87028449994978,,157.85950399999274,157.87028449994978,158.87072409997927,158.87072409997927,158.87072409997927,159.89252009999473,t,1.0176208000048064,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
15,35,14,8,2,58,1,159.906053899962,,159.89397439995082,159.906053899962,160.9041850999929,160.9041850999929,160.92068659997312,161.65557139995508,l,0.7443466000258923,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
78,80,162,8,3,59,6,161.67019779997645,,161.65676319994964,161.67019779997645,162.67075179994572,162.67075179994572,162.67075179994572,163.68923169997288,t,1.005728900025133,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
40,55,62,8,4,60,3,163.7038949999842,,163.69022449996555,163.7038949999842,164.70384129998274,164.70384129998274,164.70384129998274,165.57425839995267,l,0.8653974999906495,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
11,30,7,8,5,61,0,165.58698449999793,,165.57545720000053,165.58698449999793,166.5873614999582,166.5873614999582,166.5873614999582,167.70619729999453,l,1.107734499964863,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
49,60,89,8,6,62,4,167.7199964999454,,167.70769009995274,167.7199964999454,168.72071129997494,168.72071129997494,168.72071129997494,170.2241979999817,t,1.4970496000023559,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
40,55,62,9,0,63,3,170.23692619998474,,170.22509709995938,170.23692619998474,171.23748109996086,171.23748109996086,171.23748109996086,172.85581819998333,l,1.6094294000067748,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
27,50,21,9,1,64,2,172.87013689999003,,172.85732629999984,172.87013689999003,173.87064059998374,173.87064059998374,173.87064059998374,175.57359059998998,l,1.6971511999727227,None,4,001,2024-11-21_18h27.37.696,delay_discounting,2024.1.5,None,2024-11-21 18h27.48.636432 +0530,
